score_phrase,title,url,release_date,platform,score,genre,editors_choice
Good,Snake Pass,http://www.ign.com/articles/2017/04/04/snake-pass-review,4-Apr-17,Nintendo Switch,7.2,"Platformer, Puzzle",N
Good,Yooka-Laylee,http://www.ign.com/articles/2017/04/04/yooka-laylee-review,4-Apr-17,Xbox One,7,Platformer,N
Good,Yooka-Laylee,http://www.ign.com/articles/2017/04/04/yooka-laylee-review,4-Apr-17,PC,7,Platformer,N
Great,Thimbleweed Park,http://www.ign.com/articles/2017/03/30/thimbleweed-park-review,30-Mar-17,PC,8.5,Adventure,N
Amazing,Nighthawk X4S Smart Wi-Fi Gaming Router,http://www.ign.com/articles/2017/03/29/netgear-nighthawk-x4s-smart-wi-fi-gaming-router-review,29-Mar-17,PC,9.3,Hardware,N
Amazing,Persona 5,http://www.ign.com/articles/2017/03/29/persona-5-review,29-Mar-17,PlayStation 4,9.7,RPG,Y
Good,The Walking Dead: A New Frontier -- Episode 3: Above the Law,http://www.ign.com/articles/2017/03/28/the-walking-dead-the-telltale-series-a-new-frontier-episode-3-above-the-law-review,28-Mar-17,PC,7.2,Adventure,N
Great,Dark Souls III: The Ringed City,http://www.ign.com/articles/2017/03/27/dark-souls-3-the-ringed-city-review,27-Mar-17,PC,8,"Action, RPG",N
Great,Dark Souls III: The Ringed City,http://www.ign.com/articles/2017/03/27/dark-souls-3-the-ringed-city-review,27-Mar-17,PlayStation 4,8,"Action, RPG",N
Amazing,MLB The Show 17,http://www.ign.com/articles/2017/03/27/mlb-the-show-17-review,27-Mar-17,PlayStation 4,9.5,Sports,Y
Okay,Rain World,http://www.ign.com/articles/2017/03/27/rain-world-review,27-Mar-17,PlayStation 4,6.3,Adventure,N
Good,Dragon Quest Heroes II,http://www.ign.com/articles/2017/04/24/dragon-quest-heroes-2-review,25-Apr-17,PlayStation 4,7.5,RPG,N
Okay,The Walking Dead: A New Frontier -- Episode 4: Thicker Than Water,http://www.ign.com/articles/2017/04/25/the-walking-dead-the-telltale-series-a-new-frontier-episode-4-thicker-than-water-review,25-Apr-17,PC,6.5,Adventure,N
